80
0	1	81
0	4	1
1	2	1
1	6	1
2	3	18
4	5	1
7	8	83
7	9	24
7	10	47
7	17	1
7	22	1
8	9	19
8	10	62
9	10	8
11	12	9
11	13	8
11	14	16
11	15	6
11	16	4
11	17	15
11	18	5
11	19	5
11	20	12
11	21	9
12	13	3
12	14	10
12	15	1
12	16	2
12	17	9
12	18	2
12	19	2
12	20	2
12	21	6
13	14	24
13	15	8
13	16	6
13	17	16
13	18	4
13	19	4
13	20	4
13	21	10
14	15	17
14	16	11
14	17	30
14	18	6
14	19	9
14	20	9
14	21	27
15	16	6
15	17	8
15	18	2
15	19	6
15	20	3
15	21	12
16	17	4
16	18	2
16	19	4
16	20	7
16	21	2
17	18	14
17	20	2
17	21	6
18	20	9
18	21	8
19	20	3
19	21	3
20	21	6
23	24	13
23	25	1
25	29	3
25	30	3
26	27	37
26	28	48
26	29	2
26	30	1
27	28	17
29	30	19
29	32	1
31	32	76
33	34	11
35	36	26
36	37	1
36	38	1
39	40	10
39	41	1
39	43	1
39	48	7
40	48	1
41	42	30
41	47	1
42	44	1
42	47	1
44	45	8
44	46	6
44	47	21
44	49	1
44	52	1
45	46	10
45	47	20
45	52	2
46	47	9
46	49	1
46	52	2
47	52	2
50	51	40
51	52	1
53	54	2
53	60	1
53	61	1
53	62	1
53	65	1
55	56	35
55	57	3
55	58	8
56	57	1
56	58	5
57	58	19
59	60	38
61	62	95
61	64	8
61	66	3
62	64	5
62	66	7
63	64	3
67	68	69
67	72	1
67	73	1
68	72	2
68	73	1
69	70	25
69	71	23
69	72	2
70	71	17
70	72	1
71	72	1
73	74	1
73	75	1
74	75	29
76	77	2
76	78	2
76	79	1
77	78	2
77	79	1
78	79	10
