80
0	1	10
0	4	1
1	2	1
1	6	1
2	3	6
4	5	1
7	8	10
7	9	8
7	10	10
7	17	1
7	22	1
8	9	7
8	10	10
9	10	3
11	12	4
11	13	3
11	14	6
11	15	3
11	16	2
11	17	6
11	18	2
11	19	2
11	20	5
11	21	4
12	13	2
12	14	4
12	15	1
12	16	1
12	17	4
12	18	1
12	19	1
12	20	1
12	21	3
13	14	8
13	15	3
13	16	3
13	17	6
13	18	2
13	19	2
13	20	2
13	21	4
14	15	6
14	16	4
14	17	9
14	18	3
14	19	4
14	20	4
14	21	8
15	16	3
15	17	3
15	18	1
15	19	3
15	20	2
15	21	5
16	17	2
16	18	1
16	19	2
16	20	3
16	21	1
17	18	5
17	20	1
17	21	3
18	20	4
18	21	3
19	20	2
19	21	2
20	21	3
23	24	5
23	25	1
25	29	2
25	30	2
26	27	9
26	28	10
26	29	1
26	30	1
27	28	6
29	30	7
29	32	1
31	32	10
33	34	4
35	36	8
36	37	1
36	38	1
39	40	4
39	41	1
39	43	1
39	48	3
40	48	1
41	42	9
41	47	1
42	44	1
42	47	1
44	45	3
44	46	3
44	47	7
44	49	1
44	52	1
45	46	4
45	47	7
45	52	1
46	47	4
46	49	1
46	52	1
47	52	1
50	51	10
51	52	1
53	54	1
53	60	1
53	61	1
53	62	1
53	65	1
55	56	9
55	57	2
55	58	3
56	57	1
56	58	2
57	58	7
59	60	9
61	62	10
61	64	3
61	66	2
62	64	2
62	66	3
63	64	2
67	68	10
67	72	1
67	73	1
68	72	1
68	73	1
69	70	8
69	71	7
69	72	1
70	71	6
70	72	1
71	72	1
73	74	1
73	75	1
74	75	8
76	77	1
76	78	1
76	79	1
77	78	1
77	79	1
78	79	4
